Символ;Вес 1;Вес 2;Вес 3;Вес 4;Удельный вес 1;Удельный вес 2;Удельный вес 3;Удельный вес 4;Центр X;Центр Y;Норм. центр X;Норм. центр Y;Момент X;Момент Y;Норм. момент X;Норм. момент Y
о;0;0;87;22;0.0;0.0;0.128698224852071;0.03254437869822485;17.34862385321101;39.669724770642205;0.3336273817925194;0.7628793225123501;3098.110091743119;6660.752293577982;1.1457507735736387;2.4632959665599046
п;0;0;129;10;0.0;0.0;0.1908284023668639;0.014792899408284023;16.928057553956833;39.381294964028775;0.3255395683453237;0.7573325954620919;6088.791366906475;6309.280575539568;2.2517719552168916;2.333313822314929
р;0;0;98;31;0.0;0.0;0.14497041420118342;0.04585798816568047;17.302325581395348;38.62015503875969;0.332737030411449;0.7426952892069172;5266.387596899225;7199.209302325582;1.9476285491491216;2.6624294757121234
с;0;0;77;1;0.0;0.0;0.11390532544378698;0.0014792899408284023;12.692307692307692;41.833333333333336;0.2440828402366864;0.8044871794871795;3350.833333333333;2464.6153846153848;1.2392135108481261;0.9114701866181156
т;0;0;136;70;0.0;0.0;0.20118343195266272;0.10355029585798817;22.83495145631068;39.213592233009706;0.4391336818521285;0.7541075429424944;9198.601941747573;20592.388349514564;3.4018498305279485;7.61552823576722
у;0;0;73;6;0.0;0.0;0.10798816568047337;0.008875739644970414;15.012658227848101;38.0253164556962;0.2887049659201558;0.7312560856864654;3893.9493670886086;1902.9873417721515;1.4400700322073257;0.7037675080518312
ф;0;26;122;70;0.0;0.038461538461538464;0.1804733727810651;0.10355029585798817;23.376146788990827;37.169724770642205;0.44954128440366975;0.714802399435427;16092.720183486237;20341.15596330275;5.951449771999348;7.522616850333857
х;0;0;83;3;0.0;0.0;0.1227810650887574;0.004437869822485207;15.94186046511628;38.604651162790695;0.3065742397137746;0.7423971377459749;4884.558139534885;2304.709302325581;1.806419430301363;0.8523333218659693
ц;0;0;115;14;0.0;0.0;0.17011834319526628;0.020710059171597635;17.170542635658915;39.666666666666664;0.33020274299344066;0.7628205128205128;5624.666666666666;5848.248062015505;2.080128205128205;2.162813632402184
ч;0;0;101;4;0.0;0.0;0.14940828402366865;0.005917159763313609;18.18095238095238;37.89523809523809;0.3496336996336996;0.7287545787545787;3821.8476190476185;3317.561904761905;1.4134051845590305;1.2269089884474502
ш;0;0;115;79;0.0;0.0;0.17011834319526628;0.11686390532544379;23.75257731958763;39.43814432989691;0.4567803330689929;0.7584258524980174;8337.757731958762;22834.123711340206;3.0834902854877075;8.444572378454218
щ;0;0;115;81;0.0;0.0;0.17011834319526628;0.11982248520710059;23.897959183673468;39.55102040816327;0.4595761381475667;0.7605965463108321;8580.489795918365;23235.95918367347;3.1732580606206975;8.593180171476874
ъ;0;0;93;22;0.0;0.0;0.13757396449704143;0.03254437869822485;17.556521739130435;38.61739130434783;0.3376254180602007;0.7426421404682274;4779.165217391304;4090.3826086956524;1.7674427579109853;1.5127154617957295
ы;0;0;94;63;0.0;0.0;0.1390532544378698;0.09319526627218935;22.127388535031848;40.496815286624205;0.4255267025967663;0.7787849093581578;5211.248407643312;13621.452229299364;1.9272368371461952;5.037519315569291
ь;0;0;94;0;0.0;0.0;0.1390532544378698;0.0;15.52127659574468;40.61702127659574;0.2984860883797054;0.7810965630114566;2608.2127659574467;3209.4574468085107;0.9645757270552687;1.1869295291451594
э;0;0;76;0;0.0;0.0;0.11242603550295859;0.0;19.605263157894736;40.43421052631579;0.37702429149797567;0.777580971659919;2700.6710526315787;1254.157894736842;0.9987688804110868;0.4638157894736842
ю;0;0;123;57;0.0;0.0;0.1819526627218935;0.08431952662721894;21.483333333333334;39.56111111111111;0.41314102564102567;0.7607905982905983;6154.3277777777785;19366.949999999997;2.276008793556871;7.162333579881656
я;0;0;144;2;0.0;0.0;0.21301775147928995;0.0029585798816568047;16.746575342465754;39.86986301369863;0.3220495258166491;0.7667281348788197;7142.527397260274;5263.623287671233;2.6414672327145983;1.9466062454405446
