Символ;Вес 1;Вес 2;Вес 3;Вес 4;Вес 5;Вес 6;Вес 7;Вес 8;Вес 9;Центр X;Центр Y;Момент X;Момент Y;Отношение;Профиль X;Профиль Y;Контур
й;0.013986013986013986;0.0944055944055944;0.022727272727272728;0.18356643356643357;0.08041958041958042;0.19755244755244755;0.18006993006993008;0.12937062937062938;0.0979020979020979;0.4698426573426574;0.5602138246369015;0.049818929809432096;0.05053583274966643;1.0;0.0,0.0,0.0980036297640653,0.45735027223230484,0.7749546279491832,0.941923774954628,0.647912885662432,0.4010889292196008,0.11796733212341187,0.27586206896551724,0.2813067150635209,0.3466424682395645,0.6969147005444646,0.7894736842105262,0.6950998185117966,0.5245009074410163,0.2813067150635211,0.02540834845735064,0.0,0.0;0.0,0.0,0.391304347826087,0.43478260869565216,0.11441647597254045,0.0,0.3890160183066359,0.7917620137299772,0.6956521739130435,0.6453089244851259,0.6086956521739131,0.6521739130434783,0.6956521739130435,0.6956521739130435,0.6521739130434783,0.7276887871853546,0.8215102974828373,0.8352402745995438,0.0,0.0;0.11057692307692307,5
к;0.0683453237410072;0.11330935251798561;0.13489208633093525;0.1528776978417266;0.20323741007194246;0.0;0.1474820143884892;0.1079136690647482;0.07194244604316546;0.44666574432761486;0.49252905368013283;0.04295757287575924;0.05884706265892739;1.0;0.0,0.0,0.05263157894736839,0.36842105263157887,0.7838345864661652,0.8721804511278195,0.8139097744360902,0.6221804511278196,0.3590225563909775,0.2969924812030074,0.45864661654135336,0.5714285714285714,0.6071428571428571,0.4041353383458652,0.32142857142857145,0.35714285714285715,0.28759398496240607,0.14661654135338403,0.0,0.0;0.0,0.0,0.15009746588693948,0.8226120857699805,0.754385964912281,0.41910331384015603,0.3333333333333333,0.2962962962962963,0.3333333333333333,0.43079922027290435,0.5302144249512671,0.48148148148148145,0.4892787524366471,0.48538011695906447,0.46588693957115,0.5087719298245613,0.5536062378167641,0.5360623781676421,0.0,0.0;0.11353550295857988,1
л;0.0;0.125;0.19467213114754098;0.0;0.0942622950819672;0.2192622950819672;0.12090163934426229;0.11270491803278689;0.13319672131147542;0.5953262925598991;0.49290668348045397;0.03848737777023976;0.06776057825487518;1.0;0.0,0.0,0.14802631578947367,0.18914473684210525,0.16447368421052636,0.11184210526315792,0.125,0.18092105263157893,0.29605263157894735,0.3536184210526315,0.23848684210526333,0.192434210526316,0.5822368421052629,0.8371710526315786,0.9868421052631579,0.7483552631578947,0.44407894736842135,0.04605263157894804,0.0,0.0;0.0,0.0,1.0,0.45748987854251016,0.38461538461538464,0.34615384615384615,0.35020242914979755,0.34615384615384615,0.3663967611336033,0.37854251012145756,0.3137651821862349,0.32591093117408904,0.34615384615384615,0.3421052631578946,0.3906882591093116,0.7631578947368423,0.8117408906882593,0.2570850202429171,0.0,0.0;0.11057692307692307,1
м;0.008976660682226212;0.1310592459605027;0.13644524236983843;0.02333931777378815;0.19569120287253142;0.1813285457809695;0.08976660682226212;0.10233393177737882;0.1310592459605027;0.5755075265847259;0.49623670763706673;0.04792685750924133;0.052161349937646;1.0;0.0,0.0,0.15,0.1236842105263158,0.075,0.13552631578947366,0.2,0.25,0.3881578947368416,0.9960526315789474,0.20789473684210602,0.1,0.1,0.1,0.4473684210526313,0.7381578947368421,0.6565789473684214,0.3618421052631584,0.0,0.0;0.0,0.0,0.27423822714681434,0.8504155124653738,0.7645429362880887,0.6925207756232687,0.6371191135734071,0.7257617728531855,0.7119113573407203,0.7202216066481995,0.6842105263157895,0.6842105263157895,0.6731301939058173,0.7313019390581714,0.6925207756232684,0.922437673130194,0.9501385041551247,0.2465373961218864,0.0,0.0;0.14681952662721892,4
н;0.059900166389351084;0.09317803660565724;0.1264559068219634;0.13810316139767054;0.10815307820299501;0.1713810316139767;0.13643926788685523;0.06655574043261231;0.09983361064891846;0.49705618840394217;0.489440675796749;0.052161533542052975;0.05126121281879326;1.0;0.0,0.0,0.025408348457350256,0.3212341197822141,0.7477313974591651,0.8620689655172413,0.8203266787658803,0.6352087114337569,0.29582577132486404,0.06896551724137931,0.06896551724137931,0.17785843920145217,0.5735027223230488,0.816696914700544,0.9310344827586207,0.8257713248638837,0.4228675136116157,0.05081669691470128,0.0,0.0;0.0,0.0,0.2268602540834845,0.6569872958257713,0.5372050816696917,0.43375680580762255,0.4174228675136116,0.4482758620689655,0.4482758620689655,0.5353901996370232,0.5353901996370245,0.4301270417422867,0.45553539019963696,0.4482758620689655,0.5117967332123413,0.604355716878403,0.5208711433756807,0.21778584392014683,0.0,0.0;0.11131656804733728,1
о;0.036521739130434785;0.08869565217391304;0.11652173913043479;0.23304347826086957;0.0017391304347826088;0.23478260869565218;0.13391304347826086;0.09565217391304348;0.059130434782608696;0.4839799331103679;0.49678929765886287;0.06927320052348408;0.046193704768403045;1.0;0.0,0.0,0.3859649122807017,0.7385964912280701,0.9491228070175438,0.5526315789473685,0.39298245614035093,0.24035087719298248,0.18421052631578952,0.13859649122807013,0.13333333333333333,0.21754385964912284,0.3,0.4263157894736839,0.7052631578947367,0.9070175438596491,0.6736842105263161,0.1473684210526337,0.0,0.0;0.0,0.0,0.4912280701754385,0.5584795321637427,0.6666666666666666,0.6900584795321637,0.783625730994152,0.8333333333333334,0.8596491228070174,0.9912280701754387,0.8421052631578948,0.9181286549707602,0.8888888888888888,0.8333333333333334,0.7777777777777778,0.7076023391812865,0.6666666666666666,0.4912280701754401,0.0,0.0;0.0617603550295858,2
п;0.0424597364568082;0.12884333821376281;0.14055636896046853;0.13469985358711567;0.09370424597364568;0.17862371888726208;0.13177159590043924;0.03074670571010249;0.11859443631039532;0.5128111273792094;0.4738146187633742;0.05542999510849276;0.053170875836782545;1.0;0.0,0.0,0.032507739938080475,0.3018575851393189,0.6671826625386996,0.7770897832817337,0.846749226006192,0.6656346749226008,0.3560371517027865,0.08823529411764706,0.08823529411764706,0.08823529411764706,0.3482972136222908,0.664086687306501,0.9334365325077397,0.9102167182662538,0.6222910216718269,0.1671826625387013,0.0,0.0;0.0,0.0,0.3473684210526315,0.9578947368421052,0.7305263157894737,0.68,0.64,0.648421052631579,0.6589473684210526,0.72,0.68,0.6210526315789474,0.6,0.5642105263157897,0.566315789473684,0.64,0.68,0.4336842105263169,0.0,0.0;0.1275887573964497,1
р;0.0;0.2167381974248927;0.18025751072961374;0.032188841201716736;0.22317596566523606;0.15450643776824036;0.16523605150214593;0.027896995708154508;0.0;0.5171673819742489;0.42518157807857376;0.045172812804058396;0.058982256817856564;1.0;0.0,0.0,0.045454545454545456,0.09090909090909091,0.23684210526315774,0.6220095693779902,0.944976076555024,0.8732057416267943,0.9784688995215312,0.7057416267942586,0.3923444976076558,0.22727272727272727,0.19138755980861236,0.22727272727272727,0.41626794258373184,0.7655502392344499,0.820574162679426,0.40191387559808733,0.0,0.0;0.0,0.0,0.9162679425837321,0.638755980861244,0.6483253588516746,0.5909090909090909,0.4641148325358851,0.5095693779904307,0.5239234449760766,0.45454545454545453,0.4617224880382776,0.45454545454545453,0.6555023923444975,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.2727272727272727,0.37559808612440143,0.0,0.0;0.07729289940828403,2
с;0.015053763440860216;0.12473118279569892;0.16129032258064516;0.25591397849462366;0.012903225806451613;0.01935483870967742;0.1913978494623656;0.17634408602150536;0.043010752688172046;0.4198924731182796;0.520140612076096;0.04979500657120124;0.06260335873559278;1.0;0.0,0.0,0.0,0.557168784029038,0.834845735027223,0.9800362976406534,0.5789473684210527,0.45553539019963707,0.3448275862068966,0.2994555353901997,0.21234119782214161,0.2232304900181488,0.1724137931034483,0.1724137931034483,0.232304900181488,0.43194192377495466,0.38112522686025413,0.08892921960072725,0.0,0.0;0.0,0.0,0.41008771929824556,0.4166666666666667,0.4890350877192982,0.5592105263157894,0.5328947368421053,0.32675438596491246,0.2916666666666667,0.2982456140350877,0.2916666666666667,0.3333333333333333,0.3333333333333333,0.4451754385964906,0.5241228070175438,0.7412280701754387,0.8815789473684214,0.38377192982456276,0.0,0.0;0.09652366863905325,1
т;0.09154929577464789;0.11549295774647887;0.11408450704225352;0.13380281690140844;0.14647887323943662;0.11830985915492957;0.08732394366197183;0.08732394366197183;0.1056338028169014;0.5007042253521127;0.47139761646803896;0.062197395557611015;0.05355101774913168;1.0;0.0,0.0,0.30977443609022554,0.6601503759398496,0.7849624060150375,0.499248120300752,0.16240601503759403,0.08571428571428572,0.4090225563909772,0.756390977443609,0.8375939849624061,0.46616541353383434,0.05714285714285714,0.08270676691729309,0.4015037593984958,0.7879699248120302,0.8917293233082709,0.4345864661654144,0.0,0.0;0.0,0.0,0.36210526315789465,0.9957894736842106,0.8315789473684212,0.72,0.7115789473684211,0.688421052631579,0.7010526315789474,0.6863157894736842,0.6126315789473685,0.6589473684210526,0.64,0.6,0.583157894736842,0.68,0.64,0.4736842105263169,0.0,0.0;0.05806213017751479,7
